Financiamiento para el desarrollo;1.a
Políticas fiscales;1.a
Deuda sostenible;1.a
Inversión en infraestructuras;1.a
Asistencia técnica;1.a
Transferencia de tecnología;1.a
Transferencia de conocimientos;1.a
Ayuda oficial al desarrollo;1.a
Inversiones privadas;1.a
Justicia fiscal;1.a
Transparencia fiscal;1.a
Gobernanza económica;1.a
Reducción de la evasión fiscal;1.a
Fuentes de financiamiento innovadoras;1.a
Movilización de recursos domésticos.;1.a
Políticas nacionales;1.b
Desarrollo productivo;1.b
Empleo decente;1.b
Creatividad e innovación;1.b
Formalización empresarial;1.b
Crecimiento económico;1.b
Pequeñas y medianas empresas;1.b
Acceso a servicios financieros;1.b
Emprendimiento;1.b
Diversificación económica;1.b
Industrialización;1.b
Desarrollo de capacidades;1.b
Fomento productivo;1.b
Transferencia tecnológica;1.b
Sostenibilidad empresarial;1.b
Inversión en capital humano;1.b
Innovación tecnológica;1.b
Cooperación público-privada;1.b
Estabilidad económica;1.b
Mercados laborales inclusivos.;1.b
Pobreza extrema;1.1
Exclusión social;1.1
Marginación;1.1
Desigualdad económica;1.1
Vulnerabilidad;1.1
Derechos humanos;1.1
Acceso a recursos básicos;1.1
Inclusión social;1.1
Empoderamiento;1.1
Desarrollo humano;1.1
Bienestar;1.1
Igualdad de oportunidades;1.1
Justicia social;1.1
Distribución de la riqueza;1.1
Reducción de la brecha de ingresos;1.1
Necesidades básicas insatisfechas;1.1
Desarrollo equitativo;1.1
Erradicación de la pobreza;1.1
Asistencia social;1.1
Desarrollo sostenible;1.1
Pobreza rural;1.1
Pobreza urbana;1.1
Trabajo precario;1.1
Desempleo;1.1
Acceso limitado a servicios básicos;1.1
Seguridad alimentaria;1.1
Desplazamiento forzado;1.1
Exclusión económica;1.1
Desigualdad de género;1.1
Desigualdad en el acceso a recursos;1.1
Discriminación económica;1.1
Inequidad social;1.1
Marginación política;1.1
Dificultades para la movilidad social;1.1
Acceso limitado a la atención médica;1.1
Falta de acceso a la tecnología;1.1
Desarrollo económico insuficiente;1.1
Obstáculos para el emprendimiento;1.1
Dificultades para el acceso a la vivienda;1.1
Dificultades para el acceso a la tierra;1.1
Falta de acceso a servicios financieros;1.1
Bajo nivel de ingresos;1.1
Dificultades de acceso a la justicia;1.1
Falta de acceso a infraestructuras básicas;1.1
Dificultades para el acceso a agua potable;1.1
Dificultades para el acceso a saneamiento básico;1.1
Ausencia de políticas sociales efectivas;1.1
Acceso limitado a programas de asistencia social;1.1
Exclusión social de las personas mayores;1.1
Acceso limitado a servicios sociales para personas con discapacidad;1.1
Falta de acceso a servicios sociales para comunidades indígenas;1.1
Falta de acceso a servicios sociales para comunidades afrodescendientes.;1.1
Inclusión económica;1.2
Reducción de la pobreza;1.2
Desigualdades de género;1.2
Discriminación económica;1.2
Empoderamiento económico de la mujer;1.2
Acceso a recursos económicos;1.2
Igualdad de oportunidades económicas;1.2
Desarrollo humano sostenible;1.2
Trabajo decente y crecimiento económico;1.2
Protección social;1.2
Acceso a servicios de salud;1.2
Acceso a servicios educativos;1.2
Participación en la toma de decisiones económicas;1.2
Acceso a servicios financieros;1.2
Igualdad de acceso a recursos productivos;1.2
Acceso a tecnología;1.2
Políticas públicas inclusivas;1.2
Aceleración del crecimiento económico;1.2
Sostenibilidad económica y social;1.2
Dignidad humana en la economía;1.2
Igualdad de género en el acceso al trabajo;1.2
Inclusión económica de personas con discapacidad;1.2
Acceso a servicios financieros para poblaciones rurales;1.2
Desarrollo rural sostenible;1.2
Acceso a servicios de energía limpia;1.2
Políticas fiscales justas;1.2
Acceso a servicios de transporte;1.2
Desarrollo de habilidades empresariales;1.2
Fortalecimiento de pequeñas y medianas empresas;1.2
Desarrollo de capacidades productivas;1.2
Acceso a servicios de agua y saneamiento;1.2
Inclusión financiera de jóvenes;1.2
Inclusión financiera de mujeres;1.2
Inclusión financiera de poblaciones indígenas;1.2
Inclusión financiera de poblaciones afrodescendientes;1.2
Acceso a servicios de tecnología financiera;1.2
Desarrollo de mercados inclusivos;1.2
Acceso a servicios de microfinanzas;1.2
Acceso a servicios de microcrédito;1.2
Acceso a servicios de microaseguramiento;1.2
Promoción de empresas sociales;1.2
Promoción de cooperativas;1.2
Inversión en capital humano;1.2
Inclusión financiera de personas mayores;1.2
Acceso a servicios de educación financiera;1.2
Acceso a servicios de asesoría financiera;1.2
Acceso a servicios de ahorro;1.2
Inclusión financiera de trabajadores informales.;1.2
Vulnerabilidad;1.3
Acceso a servicios básicos;1.3
Tecnología;1.3
Acceso a recursos financieros;1.3
Inclusión social;1.3
Inversión social;1.3
Igualdad de oportunidades;1.3
Protección social;1.3
Servicios de salud;1.3
Servicios educativos;1.3
Acceso a la vivienda;1.3
Acceso a la energía;1.3
Acceso al agua potable;1.3
Acceso a saneamiento básico;1.3
Acceso a servicios de transporte;1.3
Desarrollo humano sostenible;1.3
Inclusión financiera;1.3
Tecnología financiera;1.3
Servicios financieros digitales;1.3
Políticas públicas inclusivas;1.3
Acceso a servicios de asesoría financiera;1.3
Acceso a servicios de educación financiera;1.3
Acceso a servicios de ahorro;1.3
Acceso a servicios de crédito;1.3
Acceso a servicios de microfinanzas;1.3
Acceso a servicios de microcrédito;1.3
Acceso a servicios de microaseguramiento;1.3
Desarrollo de habilidades financieras;1.3
Acceso a servicios financieros para mujeres;1.3
Acceso a servicios financieros para jóvenes;1.3
Acceso a servicios financieros para poblaciones rurales;1.3
Acceso a servicios financieros para personas con discapacidad;1.3
Acceso a servicios financieros para personas mayores;1.3
Acceso a servicios financieros para poblaciones indígenas;1.3
Acceso a servicios financieros para poblaciones afrodescendientes;1.3
Tecnología para la inclusión financiera;1.3
Innovación financiera;1.3
Empoderamiento financiero;1.3
Educación financiera para niños;1.3
Protección financiera para niños;1.3
Acceso a servicios de atención médica para niños;1.3
Acceso a servicios de educación para niños;1.3
Acceso a tecnología para niños;1.3
Protección social para niños;1.3
Acceso a servicios de nutrición para niños;1.3
Acceso a servicios de vacunación para niños;1.3
Acceso a servicios de protección de la infancia;1.3
Acceso a servicios de cuidado infantil;1.3
Acceso a servicios de entretenimiento para niños;1.3
Acceso a servicios de apoyo psicológico para niños;1.3
Acceso a servicios de protección de derechos de los niños.;1.3
Igualdad de género;1.4
Derechos económicos;1.4
Inclusión social;1.4
Acceso a servicios básicos;1.4
Propiedad;1.4
Control sobre la tierra;1.4
Control sobre recursos naturales;1.4
Acceso a tecnologías apropiadas;1.4
Acceso a servicios financieros;1.4
Acceso a microfinanzas;1.4
Protección social;1.4
Desarrollo humano sostenible;1.4
Acceso a servicios de salud;1.4
Acceso a servicios educativos;1.4
Acceso a la vivienda;1.4
Acceso a la energía;1.4
Acceso al agua potable;1.4
Acceso a saneamiento básico;1.4
Acceso a servicios de transporte;1.4
Acceso a servicios de nutrición;1.4
Acceso a servicios de protección de derechos;1.4
Inclusión financiera;1.4
Acceso a servicios de asesoría financiera;1.4
Acceso a servicios de educación financiera;1.4
Acceso a servicios de ahorro;1.4
Acceso a servicios de crédito;1.4
Acceso a servicios de microfinanzas;1.4
Acceso a servicios de microcrédito;1.4
Acceso a servicios de microaseguramiento;1.4
Empoderamiento económico de la mujer;1.4
Acceso a servicios financieros para mujeres;1.4
Acceso a tecnología para mujeres;1.4
Propiedad de la tierra para mujeres;1.4
Control sobre recursos naturales para mujeres;1.4
Herencia para mujeres;1.4
Acceso a servicios financieros para jóvenes;1.4
Acceso a tecnología para jóvenes;1.4
Acceso a servicios de asesoría financiera para jóvenes;1.4
Acceso a servicios de educación financiera para jóvenes;1.4
Acceso a servicios de ahorro para jóvenes;1.4
Acceso a servicios de crédito para jóvenes;1.4
Acceso a servicios de microfinanzas para jóvenes;1.4
Acceso a servicios de microcrédito para jóvenes;1.4
Acceso a servicios de microaseguramiento para jóvenes;1.4
Protección social para poblaciones vulnerables;1.4
Acceso a servicios de salud para poblaciones vulnerables;1.4
Acceso a servicios educativos para poblaciones vulnerables;1.4
Acceso a la vivienda para poblaciones vulnerables;1.4
Acceso a la energía para poblaciones vulnerables;1.4
Acceso al agua potable para poblaciones vulnerables.;1.4
Resiliencia;1.5
Vulnerabilidad;1.5
Acceso a servicios básicos;1.5
Acceso a servicios de protección social;1.5
Acceso a servicios de salud;1.5
Acceso a servicios educativos;1.5
Acceso a la vivienda;1.5
Acceso a la energía;1.5
Acceso al agua potable;1.5
Acceso a saneamiento básico;1.5
Acceso a servicios de transporte;1.5
Acceso a servicios de nutrición;1.5
Protección social;1.5
Desarrollo humano sostenible;1.5
Acceso a tecnologías apropiadas;1.5
Reducción del riesgo de desastres;1.5
Prevención de desastres;1.5
Mitigación de desastres;1.5
Recuperación de desastres;1.5
Adaptación al cambio climático;1.5
Acceso a seguros;1.5
Acceso a servicios financieros;1.5
Acceso a microfinanzas;1.5
Acceso a servicios de asesoría financiera;1.5
Acceso a servicios de educación financiera;1.5
Acceso a servicios de ahorro;1.5
Acceso a servicios de crédito;1.5
Acceso a servicios de microcrédito;1.5
Acceso a servicios de microaseguramiento;1.5
Desarrollo rural sostenible;1.5
Acceso a tecnología para la prevención de desastres;1.5
Acceso a servicios de asistencia en caso de desastres;1.5
Acceso a servicios de alerta temprana;1.5
Acceso a servicios de respuesta rápida;1.5
Acceso a servicios de monitoreo ambiental;1.5
Acceso a servicios de alerta temprana para eventos extremos;1.5
Acceso a servicios de respuesta rápida para eventos extremos;1.5
Acceso a servicios de monitoreo para eventos extremos;1.5
Protección de recursos naturales;1.5
Manejo sostenible de recursos naturales;1.5
Acceso a servicios de gestión de residuos;1.5
Acceso a servicios de tratamiento de aguas residuales;1.5
Acceso a servicios de tratamiento de residuos peligrosos;1.5
Acceso a servicios de gestión de residuos sólidos;1.5
Acceso a servicios de gestión de desechos electrónicos;1.5
Acceso a servicios de gestión de residuos orgánicos;1.5
Acceso a servicios de recuperación de recursos;1.5
Desarrollo de infraestructura resiliente;1.5
Acceso a servicios de energía renovable;1.5
Acceso a servicios de transporte sostenible.;1.5
Movilización de recursos;1.a
Cooperación para el desarrollo;1.a
Financiamiento para el desarrollo;1.a
Sostenibilidad;1.a
Predicibilidad;1.a
Acceso a recursos económicos;1.a
Acceso a servicios básicos;1.a
Acceso a servicios financieros;1.a
Acceso a microfinanzas;1.a
Acceso a servicios de asesoría financiera;1.a
Acceso a servicios de educación financiera;1.a
Acceso a servicios de ahorro;1.a
Acceso a servicios de crédito;1.a
Acceso a servicios de microcrédito;1.a
Acceso a servicios de microaseguramiento;1.a
Desarrollo humano sostenible;1.a
Reducción de la pobreza;1.a
Inclusión social;1.a
Protección social;1.a
Desarrollo rural sostenible;1.a
Acceso a servicios de salud;1.a
Acceso a servicios educativos;1.a
Acceso a la vivienda;1.a
Acceso a la energía;1.a
Acceso al agua potable;1.a
Acceso a saneamiento básico;1.a
Acceso a servicios de transporte;1.a
Acceso a tecnologías apropiadas;1.a
Acceso a servicios de gestión de residuos;1.a
Acceso a servicios de tratamiento de aguas residuales;1.a
Acceso a servicios de tratamiento de residuos peligrosos;1.a
Acceso a servicios de gestión de residuos sólidos;1.a
Acceso a servicios de gestión de desechos electrónicos;1.a
Acceso a servicios de gestión de residuos orgánicos;1.a
Acceso a servicios de recuperación de recursos;1.a
Innovación financiera;1.a
Tecnología financiera;1.a
Acceso a servicios financieros digitales;1.a
Acceso a tecnología para la movilización de recursos;1.a
Inversión social;1.a
Políticas fiscales justas;1.a
Impuestos progresivos;1.a
Impuestos sobre la riqueza;1.a
Acceso a servicios de monitoreo y evaluación;1.a
Acceso a servicios de evaluación de impacto;1.a
Participación ciudadana en la toma de decisiones sobre financiamiento para el desarrollo;1.a
Transparencia en la movilización de recursos;1.a
Coordinación de la movilización de recursos;1.a
Acceso a servicios de cooperación técnica;1.a
Acceso a servicios de asistencia técnica.;1.a
Políticas de desarrollo;1.b
Estrategias de desarrollo;1.b
Coherencia de políticas;1.b
Coherencia de estrategias;1.b
Desarrollo sostenible;1.b
Erradicación de la pobreza;1.b
Inclusión social;1.b
Desarrollo humano sostenible;1.b
Acceso a servicios básicos;1.b
Acceso a servicios financieros;1.b
Acceso a microfinanzas;1.b
Acceso a servicios de asesoría financiera;1.b
Acceso a servicios de educación financiera;1.b
Acceso a servicios de ahorro;1.b
Acceso a servicios de crédito;1.b
Acceso a servicios de microcrédito;1.b
Acceso a servicios de microaseguramiento;1.b
Protección social;1.b
Desarrollo rural sostenible;1.b
Acceso a servicios de salud;1.b
Acceso a servicios educativos;1.b
Acceso a la vivienda;1.b
Acceso a la energía;1.b
Acceso al agua potable;1.b
Acceso a saneamiento básico;1.b
Acceso a servicios de transporte;1.b
Acceso a tecnologías apropiadas;1.b
Políticas públicas inclusivas;1.b
Participación ciudadana en la toma de decisiones sobre políticas y estrategias de desarrollo;1.b
Descentralización de la toma de decisiones;1.b
Cooperación internacional para el desarrollo;1.b
Comercio justo y sostenible;1.b
Políticas fiscales justas;1.b
Acceso a servicios de monitoreo y evaluación;1.b
Acceso a servicios de evaluación de impacto;1.b
Acceso a servicios de planificación estratégica;1.b
Acceso a servicios de asesoría técnica;1.b
Acceso a servicios de asistencia técnica;1.b
Desarrollo de capacidades institucionales;1.b
Desarrollo de capacidades humanas;1.b
Acceso a servicios de fortalecimiento institucional;1.b
Acceso a servicios de fortalecimiento de capacidades;1.b
Acceso a servicios de asesoría jurídica;1.b
Acceso a servicios de asesoría en políticas públicas;1.b
Acceso a servicios de apoyo a la innovación y emprendimiento;1.b
Acceso a servicios de apoyo al desarrollo empresarial;1.b
Acceso a servicios de apoyo al sector privado;1.b
Acceso a servicios de apoyo al sector cooperativo;1.b
Acceso a servicios de apoyo al sector social y solidario;1.b
Acceso a servicios de promoción del desarrollo local y territorial;1.b
Acceso a servicios de apoyo a la integración regional;1.b
Acceso a servicios de fomento de la cultura de la innovación y emprendimiento.;1.b
Como empresa responsable, creemos que tenemos un papel importante que desempeñar en la lucha contra la pobreza extrema y trabajamos para hacer nuestra parte;1.1
estamos comprometidos en utilizar nuestra influencia y recursos para contribuir a mejorar las condiciones de vida de las personas en situación de pobreza extrema;1.1
Nos esforzamos por implementar prácticas comerciales responsables y sostenibles que generen empleo digno y promuevan el desarrollo económico y social en las comunidades en las que operamos;1.1
Reconocemos que la erradicación de la pobreza extrema es un objetivo a largo plazo que requiere un esfuerzo sostenido y colaborativo, y estamos comprometidos en trabajar en alianza con otras empresas, organizaciones y gobiernos para lograrlo;1.1
Creemos que nuestra contribución a la erradicación de la pobreza extrema no solo es una responsabilidad, sino una oportunidad para hacer un impacto positivo en el mundo y construir un futuro más justo y sostenible;1.1
Erradicar la pobreza extrema es un objetivo clave para nosotros como empresa responsable;1.1
Como empresa, estamos comprometidos en contribuir a la erradicación de la pobreza extrema;1.1
Nos esforzamos por implementar prácticas comerciales responsables que promuevan el desarrollo económico y social en las comunidades.Creemos que es nuestra responsabilidad trabajar por un mundo sin pobreza extrema;1.1
Nos esforzamos por generar empleo digno y promover el desarrollo sostenible en las comunidades en las que operamos;1.1
La erradicación de la pobreza extrema es un objetivo complejo, pero estamos comprometidos en hacer nuestra parte como empresa responsable;1.1
Creemos que nuestra contribución a la erradicación de la pobreza extrema es esencial para construir un futuro más justo y sostenible;1.1
Nos esforzamos por apoyar a las comunidades más vulnerables y trabajar para mejorar sus condiciones de vida;1.1
Nos comprometemos a contribuir a la erradicación de la pobreza extrema a través de nuestras acciones y decisiones empresariales;1.1
La pobreza extrema es una violación de los derechos humanos, y como empresa nos comprometemos a luchar contra ella;1.1
Como empresa responsable, reconocemos que tenemos un papel importante que desempeñar en la lucha contra la pobreza extrema;1.1
Estamos comprometidos en utilizar nuestros recursos para apoyar proyectos y organizaciones que trabajen en la erradicación de la pobreza extrema;1.1
Nos esforzamos por implementar prácticas comerciales éticas y sostenibles que tengan un impacto positivo en las comunidades en las que operamos;1.1
Creemos que la erradicación de la pobreza extrema es un objetivo clave para lograr un mundo más justo y sostenible, y estamos comprometidos en trabajar para alcanzarlo;1.1
nos comprometemos a reducir al menos a la mitad la proporción de personas que viven en la pobreza en todas sus dimensiones, en línea con el ODS 1.2;1.2
Como empresa responsable, reconocemos nuestra responsabilidad en contribuir a la reducción de la pobreza en todas sus dimensiones y trabajamos para hacer nuestra parte;1.2
Nos esforzamos por implementar prácticas comerciales responsables que promuevan el desarrollo económico y social y reduzcan la pobreza en todas sus dimensiones;1.2
creemos que la reducción de la pobreza en todas sus dimensiones es esencial para lograr un mundo justo y sostenible, y por ello hacemos de este objetivo una prioridad en nuestras iniciativas de RSC;1.2
La reducción de la pobreza en todas sus dimensiones es un objetivo complejo que requiere de soluciones innovadoras y colaborativas, en las que las empresas pueden ser un agente de cambio positivo;1.2
Reconocemos que la reducción de la pobreza en todas sus dimensiones es un proceso a largo plazo que requiere de esfuerzos sostenidos y colaborativos, y estamos comprometidos en trabajar en alianza con otras empresas, organizaciones y gobiernos para lograrlo;1.2
Nos esforzamos por generar empleo digno y promover el desarrollo sostenible en las comunidades en las que operamos, contribuyendo así a la reducción de la pobreza en todas sus dimensiones;1.2
La reducción de la pobreza en todas sus dimensiones es un imperativo ético y social, y como empresa nos comprometemos a contribuir a este objetivo;1.2
creemos que la reducción de la pobreza en todas sus dimensiones es un paso esencial para lograr un desarrollo sostenible y equitativo;1.2
Estamos comprometidos en apoyar a las comunidades más vulnerables y trabajar para mejorar sus condiciones de vida, contribuyendo así a la reducción de la pobreza en todas sus dimensiones;1.2
Como empresa responsable, reconocemos que nuestras decisiones y acciones pueden tener un impacto en la reducción de la pobreza en todas sus dimensiones, y nos esforzamos por tomar decisiones que promuevan un impacto positivo;1.2
La reducción de la pobreza en todas sus dimensiones es un objetivo que requiere un enfoque integral, y como empresa trabajamos para promover un desarrollo económico, social y ambiental sostenible;1.2
Nos esforzamos por promover la igualdad de oportunidades y el acceso a servicios básicos para todas las personas, como un medio para reducir la pobreza en todas sus dimensiones;1.2
Creemos que la reducción de la pobreza en todas sus dimensiones es un objetivo alcanzable y estamos comprometidos en trabajar en alianza con otras empresas, organizaciones y gobiernos para lograrlo;1.2
estamos comprometidos en promover la igualdad de derechos y acceso a los recursos económicos, así como el acceso a la propiedad y el control de la tierra y otros bienes, servicios y recursos, en línea con el ODS 1.3;1.3
Como empresa responsable, reconocemos nuestra responsabilidad en promover la igualdad de derechos y acceso a los recursos económicos y naturales, y trabajamos para hacer nuestra parte;1.3
Nos esforzamos por implementar prácticas comerciales responsables que promuevan la igualdad de derechos y acceso a los recursos económicos y naturales, y por ende contribuyan al logro del ODS 1.3;1.3
creemos que la igualdad de derechos y acceso a los recursos económicos y naturales son fundamentales para lograr un mundo justo y sostenible, y por ello hacemos de este objetivo una prioridad en nuestras iniciativas de RSC;1.3
La igualdad de derechos y acceso a los recursos económicos y naturales son elementos clave para la erradicación de la pobreza y la promoción de un desarrollo sostenible, y como empresa nos comprometemos en trabajar en alianza con otras empresas, organizaciones y gobiernos para lograrlo;1.3
Reconocemos que la promoción de la igualdad de derechos y acceso a los recursos económicos y naturales es un proceso a largo plazo que requiere de esfuerzos sostenidos y colaborativos, y estamos comprometidos en trabajar en alianza con otras empresas, organizaciones y gobiernos para lograrlo;1.3
Nos esforzamos por promover la igualdad de derechos y acceso a los recursos económicos y naturales en nuestras operaciones y en nuestras relaciones con nuestros grupos de interés, contribuyendo así al logro del ODS 1.3;1.3
estamos comprometidos en promover la igualdad de derechos y acceso a los recursos económicos y naturales como una forma de promover la justicia social y el desarrollo sostenible;1.3
Creemos que la igualdad de derechos y acceso a los recursos económicos y naturales son fundamentales para construir un mundo más equitativo y sostenible, y estamos comprometidos en trabajar para alcanzar este objetivo;1.3
Nos esforzamos por apoyar a las comunidades locales en el acceso a recursos económicos y naturales, y en el fortalecimiento de sus derechos, contribuyendo así a la implementación del ODS 1.3;1.3
Como empresa responsable, reconocemos que nuestros procesos y decisiones pueden tener un impacto en la igualdad de derechos y acceso a los recursos económicos y naturales, y nos esforzamos por tomar decisiones que promuevan la justicia social y la sostenibilidad ambiental;1.3
La promoción de la igualdad de derechos y acceso a los recursos económicos y naturales requiere de la colaboración y participación activa de todos los actores sociales, y como empresa estamos comprometidos en trabajar en alianza con otros para lograrlo;1.3
Nos esforzamos por promover la igualdad de género y el acceso a los recursos económicos y naturales para mujeres y niñas, reconociendo su papel clave en la erradicación de la pobreza y la promoción del desarrollo sostenible;1.3
Creemos que la promoción de la igualdad de derechos y acceso a los recursos económicos y naturales es un imperativo ético y social, y estamos comprometidos en contribuir a este objetivo como empresa responsable;1.3
estamos comprometidos en promover la igualdad de derechos y acceso a los recursos económicos, servicios básicos y tecnologías apropiadas para todos los hombres y mujeres, especialmente los más vulnerables, en línea con el ODS 1.4;1.4
Como empresa responsable, reconocemos nuestra responsabilidad en promover la igualdad de derechos y acceso a los recursos económicos, servicios básicos y tecnologías apropiadas para todos los hombres y mujeres, y trabajamos para hacer nuestra parte;1.4
Nos esforzamos por implementar prácticas comerciales responsables que promuevan la igualdad de derechos y acceso a los recursos económicos, servicios básicos y tecnologías apropiadas, y por ende contribuyan al logro del ODS 1.4;1.4
creemos que la igualdad de derechos y acceso a los recursos económicos, servicios básicos y tecnologías apropiadas son fundamentales para lograr un mundo justo y sostenible, y por ello hacemos de este objetivo una prioridad en nuestras iniciativas de RSC;1.4
La promoción de la igualdad de derechos y acceso a los recursos económicos, servicios básicos y tecnologías apropiadas es un requisito previo para la erradicación de la pobreza y la promoción de un desarrollo sostenible, y como empresa nos comprometemos en trabajar en alianza con otras empresas, organizaciones y gobiernos para lograrlo;1.4
Reconocemos que la promoción de la igualdad de derechos y acceso a los recursos económicos, servicios básicos y tecnologías apropiadas es un proceso a largo plazo que requiere de esfuerzos sostenidos y colaborativos, y estamos comprometidos en trabajar en alianza con otras empresas, organizaciones y gobiernos para lograrlo;1.4
Nos esforzamos por promover la igualdad de derechos y acceso a los recursos económicos, servicios básicos y tecnologías apropiadas en nuestras operaciones y en nuestras relaciones con nuestros grupos de interés, contribuyendo así al logro del ODS 1.4;1.4
nos comprometemos a construir la resiliencia de los pobres y las personas en situación vulnerable, reduciendo su exposición y vulnerabilidad a los fenómenos extremos relacionados con el clima y otros desastres económicos, sociales y ambientales, en línea con el ODS 1.5;1.5
Como empresa responsable, reconocemos nuestra responsabilidad en contribuir a la construcción de la resiliencia de las personas en situación vulnerable, y trabajamos para hacer nuestra parte;1.5
Nos esforzamos por implementar prácticas comerciales responsables que promuevan la construcción de la resiliencia de las personas en situación vulnerable, reduciendo su exposición y vulnerabilidad a los fenómenos extremos relacionados con el clima y otros desastres económicos, sociales y ambientales;1.5
creemos que la construcción de la resiliencia de las personas en situación vulnerable es esencial para lograr un mundo justo y sostenible, y por ello hacemos de este objetivo una prioridad en nuestras iniciativas de RSC;1.5
La construcción de la resiliencia de las personas en situación vulnerable es un paso fundamental para la erradicación de la pobreza y la promoción de un desarrollo sostenible, y como empresa nos comprometemos en trabajar en alianza con otras empresas, organizaciones y gobiernos para lograrlo;1.5
Reconocemos que la construcción de la resiliencia de las personas en situación vulnerable es un proceso a largo plazo que requiere de esfuerzos sostenidos y colaborativos, y estamos comprometidos en trabajar en alianza con otras empresas, organizaciones y gobiernos para lograrlo;1.5
Nos esforzamos por promover la construcción de la resiliencia de las personas en situación vulnerable a través de iniciativas de RSC, como la inversión en tecnologías y prácticas sostenibles que contribuyan a la adaptación al cambio climático y la reducción de riesgos de desastres;1.5
Como empresa responsable, estamos comprometidos en promover la construcción de la resiliencia de las personas en situación vulnerable, mediante la inversión en soluciones sostenibles que fortalezcan su capacidad de recuperación ante eventos extremos;1.5
Nos esforzamos por identificar y mitigar los impactos negativos que nuestras operaciones puedan tener en las comunidades vulnerables, así como en promover su resiliencia a través de la colaboración y el diálogo con los grupos de interés relevantes;1.5
Creemos que la construcción de la resiliencia de las personas en situación vulnerable es un objetivo compartido por todos los actores de la sociedad, y como empresa estamos comprometidos en hacer nuestra parte para lograrlo;1.5
La construcción de la resiliencia de las personas en situación vulnerable requiere de soluciones integrales y coordinadas, en las que las empresas pueden desempeñar un papel clave en la identificación de oportunidades y la movilización de recursos;1.5
Nos esforzamos por apoyar a las comunidades locales en el desarrollo de capacidades y estrategias de adaptación al cambio climático y otros riesgos, contribuyendo así a la construcción de su resiliencia;1.5
reconocemos que la construcción de la resiliencia de las personas en situación vulnerable es un proceso a largo plazo, y estamos comprometidos en trabajar en alianza con otras empresas, organizaciones y gobiernos para lograr un futuro más sostenible y resiliente;1.5
La construcción de la resiliencia de las personas en situación vulnerable es un elemento clave para lograr un desarrollo sostenible y equitativo, y como empresa responsable nos comprometemos en apoyar esta meta a través de nuestras iniciativas de RSC;1.5
